team_name,player_name,Score_AccionDefensiva_25,Score_ControlDefensivo_25,Score_Progresion_25,Score_ImpactoOfensivo_25,Score_Overall_25,Score_AccionDefensiva_26,Score_ControlDefensivo_26,Score_Progresion_26,Score_ImpactoOfensivo_26,Score_Overall_26,Overall_Score_Final,Cost_Share
Atlético San Luis,Aldo Jafid Cruz Sánchez,44.42927170868348,62.58503401360544,69.53933747412009,54.61309523809524,58.63976025192685,,,,,,58.63976025192685,0.058
Mazatlán,Jair Alberto Díaz Vázquez,52.5875350140056,60.54421768707483,64.37888198757764,51.9345238095238,58.461010491152976,,,,,,58.461010491152976,0.073
Monterrey,Sergio Ramos García,80.71428571428571,52.551020408163254,83.30486542443064,74.40476190476191,67.92797988760721,80.50806529508355,26.07709750566893,78.25396825396825,74.00793650793652,54.9132975029092,57.516233979848806,0.168
Necaxa,Cristian Yonathan Calderón Del Real,,,,,,36.577159599471976,59.18367346938775,71.13095238095238,58.134920634920626,55.81662550077502,55.81662550077502,0.072
Toluca,Bruno Méndez Cittadini,48.420868347338946,55.4421768707483,63.36438923395446,45.089285714285715,54.23600309689093,58.3792137544673,42.857142857142854,70.15873015873017,71.82539682539682,55.09480343861682,54.92304337027164,0.03
Tijuana,Unai Bilbao Arteta,42.608543417366946,36.05442176870748,62.85196687370601,58.63095238095237,45.310114263096544,85.03654335297337,42.85714285714285,53.0345471521942,59.92063492063492,57.14382304645995,54.77708128978727,0.071
Toluca,Jesús Alberto Angulo Uriarte,,,,,,63.74802794681091,44.44444444444443,71.98879551820728,41.26984126984127,54.4617502173283,54.4617502173283,0.018
Pachuca,Daniel Alonso Aceves Patiño,52.49161255411256,50.680272108843525,66.24649859943978,50.44642857142858,54.222968164538536,,,,,,54.222968164538536,0.024
Club América,Néstor Alejandro Araújo Razo,80.63375350140055,45.91836734693877,30.696169772256727,70.08928571428571,53.969866207352496,,,,,,53.969866207352496,0.028
Atlético San Luis,Eduardo Águila Castro,75.08089826839827,54.76190476190476,32.64751552795031,65.62499999999999,56.505084815546766,79.43430245661484,48.97959183673469,26.011904761904763,52.97619047619047,52.39939194068431,53.2205305156568,0.013
Querétaro,Óscar Gibram Manzanarez Pérez,43.72899159663865,26.530612244897956,26.6796066252588,38.24404761904762,32.03134949632026,70.70414372645611,68.70748299319727,39.77591036414565,18.253968253968253,58.374982176778744,53.10625564068705,0.017
Puebla,Jose Rodrigo Pachuca Martinez,60.78081232492997,43.36734693877551,39.84593837535014,43.45238095238096,47.0249349739896,40.63878424933192,53.061224489795904,73.57609710550886,55.55555555555556,54.30802205939845,52.85140464231668,0.005
Toluca,Héctor Alfredo Moreno Herrera,31.053921568627455,55.27210884353741,68.50414078674949,61.30952380952381,52.46770991005097,,,,,,52.46770991005097,0.023
Toluca,Antonio Briseño Vázquez,87.57936507936508,40.30612244897959,52.38095238095238,74.40476190476191,57.94926303854875,51.376412634019125,58.04988662131519,32.586367880485525,55.55555555555555,51.03938126974927,52.42135762350917,0.031
