team_name,player_name,player_full_name,GM,Min,Age,player_position,games_by_team,minutes_played_by_team,minutes_played_percentage,total_gross_salary,signed,contract_expiration,season,transfer_window,club_id_tmkt,player_id,transfer_price,contract_length_years,player_annual_fee,player_annual_cost,team_total_salary,team_total_fees,team_total_cost,player_annual_cost_percentage
Santos Laguna,J. Abella,Javier Abella,24,1951,31,Right Back,24,2160,0.9,800000.0,01-01-2025,30-06-2026,24/25,Invierno europeo,1403.0,243580.0,1500000.0,1.0,1500000.0,2300000,9150000.0,3645833,12795833,0.18
Toluca,D. Barbosa,Diego Barbosa,29,1926,29,Right Back,34,3060,0.63,1150000.0,01-01-2025,30-06-2026,24/25,Invierno europeo,1804.0,416083.0,2000000.0,1.0,2000000.0,3150000,25380000.0,25421667,50801667,0.062
Guadalajara,D. Campillo,Diego Campillo,27,1914,24,Right Centre Back,30,2700,0.71,700000.0,04-07-2025,30-06-2026,25/26,Verano europeo,6711.0,802857.0,1900000.0,1.0,1900000.0,2600000,27200000.0,22351667,49551667,0.052
Atlético San Luis,Rodrigo Dourado,Rodrigo Dourado,25,1892,31,Central Midfielder,26,2340,0.81,300000.0,01-07-2022,30-06-2025,,,,,,3.0,,300000,8040000.0,1600000,9640000,0.031
Atlético San Luis,R. Torres,Román Torres,25,1890,20,Right Back,26,2340,0.81,110000.0,01-01-2025,30-06-2026,,,,,,1.0,,110000,8040000.0,1600000,9640000,0.011
Cruz Azul,J. Orozco,Jesús Orozco,28,1866,23,Left Centre Back,35,3150,0.59,1150000.0,07-01-2025,30-06-2026,24/25,Invierno europeo,3711.0,915155.0,10740000.0,1.0,10740000.0,11890000,23380000.0,28637500,52017500,0.229
Juárez,Madson,Madson,25,1863,26,Right Midfielder,28,2520,0.74,350000.0,03-02-2025,30-06-2027,24/25,Invierno europeo,49283.0,554300.0,1500000.0,2.0,750000.0,1100000,12850000.0,5433333,18283333,0.06
Tigres UANL,J. Angulo,Jesús Angulo,24,1856,27,Left Centre Back,37,3330,0.56,670000.0,01-01-2022,30-06-2028,,,,,,6.0,,670000,36450000.0,10285834,46735834,0.014
Santos Laguna,A. López,Aldo López,24,1850,25,Central Midfielder,24,2160,0.86,310000.0,01-07-2022,30-06-2026,,,,,,4.0,,310000,9150000.0,3645833,12795833,0.024
León,N. Fonseca,Nicolás Fonseca,24,1844,27,Defensive Midfielder,28,2520,0.73,940000.0,15-01-2025,31-12-2028,24/25,Invierno europeo,4941.0,462070.0,2140000.0,3.0,713333.0,1653333,18000000.0,10275833,28275833,0.058
Atlético San Luis,Ó. Macías,Óscar Macías,24,1824,27,Central Midfielder,26,2340,0.78,310000.0,18-12-2024,30-06-2027,,,,,,3.0,,310000,8040000.0,1600000,9640000,0.032
Puebla,E. Gómez,Emiliano Gómez,25,1818,24,Centre Forward,26,2340,0.78,700000.0,16-05-2025,30-06-2026,24/25,Verano europeo,5662.0,577489.0,1600000.0,1.0,1600000.0,2300000,11000000.0,7816667,18816667,0.122
Pumas UNAM,J. Ruvalcaba,Jorge Ruvalcaba,27,1815,24,Left Attacking Midfielder,32,2880,0.63,210000.0,01-07-2022,30-06-2026,,,,,,4.0,,210000,12860000.0,5755000,18615000,0.011
Tijuana,F. Boya,Frank Boya,24,1811,29,Central Midfielder,26,2340,0.77,710000.0,03-02-2025,30-06-2027,24/25,Invierno europeo,13353.0,473201.0,900000.0,2.0,450000.0,1160000,11350000.0,11783333,23133333,0.05
Tijuana,A. Gómez,Alejandro Gómez,26,1809,23,Left Centre Back,26,2340,0.77,110000.0,11-01-2024,30-06-2026,,,,,,2.0,,110000,11350000.0,11783333,23133333,0.005
Atlas,Gustavo Ferrareis,Gustavo Ferrareis,25,1799,29,Right Midfielder,25,2250,0.8,880000.0,03-07-2025,30-06-2027,,,,,,2.0,,880000,10890000.0,6566667,17456667,0.05
Tijuana,K. Castañeda,Kevin Castañeda,25,1798,26,Centre Forward,26,2340,0.77,80000.0,01-07-2022,30-06-2026,,,,,,4.0,,80000,11350000.0,11783333,23133333,0.003
Necaxa,I. Rodríguez,Iván Rodríguez,23,1791,29,Central Midfielder,29,2610,0.69,800000.0,04-01-2025,30-06-2026,,,,,,1.0,,800000,8700000.0,6121867,14821867,0.054
Puebla,R. Marín,Ricardo Marín,26,1776,27,Centre Forward,26,2340,0.76,530000.0,28-01-2025,30-06-2026,,,,,,1.0,,530000,11000000.0,7816667,18816667,0.028
Pumas UNAM,G. Martínez,Guillermo Martínez,26,1768,30,Centre Forward,32,2880,0.61,880000.0,01-01-2024,31-12-2026,,,,,,2.0,,880000,12860000.0,5755000,18615000,0.047
Toluca,B. Méndez,Bruno Méndez,25,1764,26,Right Centre Back,34,3060,0.58,1500000.0,09-07-2024,30-06-2027,,,,,,3.0,,1500000,25380000.0,25421667,50801667,0.03
León,J. Rodríguez,James Rodríguez,23,1754,34,Centre Attacking Midfielder,28,2520,0.7,5750000.0,13-01-2025,31-12-2025,,,,,,0.0,,5750000,18000000.0,10275833,28275833,0.203
Guadalajara,R. Alvarado,Roberto Alvarado,22,1751,27,Right Attacking Midfielder,30,2700,0.65,3130000.0,12-09-2024,30-06-2029,,,,,,5.0,,3130000,27200000.0,22351667,49551667,0.063
Mazatlán,J. Sierra,Jordan Sierra,24,1749,28,Central Midfielder,25,2250,0.78,700000.0,01-07-2024,30-06-2027,24/25,Verano europeo,82696.0,332829.0,2000000.0,3.0,666667.0,1366667,9710000.0,1747917,11457917,0.119
Necaxa,D. de Buen,Diego de Buen,24,1746,34,Central Midfielder,29,2610,0.67,610000.0,17-01-2025,30-06-2026,24/25,Invierno europeo,1146.0,102708.0,800000.0,1.0,800000.0,1410000,8700000.0,6121867,14821867,0.095
Monterrey,L. Ocampos,Lucas Ocampos,33,1726,31,Left Attacking Midfielder,36,3240,0.53,5000000.0,03-09-2024,30-06-2027,24/25,Verano europeo,2407.0,189441.0,7250000.0,3.0,2416667.0,7416667,47650000.0,10834167,61864167,0.12
Juárez,Guilherme Castilho,Guilherme Castilho,23,1725,26,Central Midfielder,28,2520,0.68,400000.0,11-02-2025,30-06-2026,24/25,Invierno europeo,49283.0,726005.0,1450000.0,1.0,1450000.0,1850000,12850000.0,5433333,18283333,0.101
Atlas,Matheus Dória,Matheus Dória,20,1722,31,Left Centre Back,25,2250,0.77,,,,,,,,,,,0,10890000.0,6566667,17456667,0.0
Pachuca,P. Pedraza,Pedro Pedraza,27,1716,25,Defensive Midfielder,32,2880,0.6,440000.0,02-01-2024,31-12-2027,,,,,,3.0,,440000,18330000.0,0,18330000,0.024
Club América,B. Rodríguez,Brian Rodríguez,29,1709,25,Left Midfielder,35,3150,0.54,1500000.0,21-10-2025,30-06-2029,,,,,,4.0,,1500000,39090000.0,25266667,64356667,0.023
Tigres UANL,O. Herrera,Ozziel Herrera,27,1691,24,Left Attacking Midfielder,37,3330,0.51,380000.0,24-07-2023,30-06-2027,,,,,,4.0,,380000,36450000.0,10285834,46735834,0.008
Querétaro,L. Rodríguez,Lucas Rodríguez,22,1658,28,Right Midfielder,22,1980,0.84,880000.0,03-07-2024,30-06-2026,24/25,Verano europeo,4961.0,380996.0,3000000.0,2.0,1500000.0,2380000,11550000.0,8850000,20400000,0.117
Guadalajara,G. Sepúlveda,Gilberto Sepúlveda,22,1656,26,Central Defender,30,2700,0.61,1330000.0,12-06-2024,30-06-2028,,,,,,4.0,,1330000,27200000.0,22351667,49551667,0.027
Cruz Azul,M. Bogusz,Mateusz Bogusz,31,1656,24,Left Midfielder,35,3150,0.53,2400000.0,25-01-2025,31-12-2026,24/25,Invierno europeo,3711.0,431475.0,8500000.0,1.0,8500000.0,10900000,23380000.0,28637500,52017500,0.21
Tijuana,A. Preciado,Adonis Preciado,24,1652,28,Centre Forward,26,2340,0.71,560000.0,03-07-2025,30-06-2026,,,,,,1.0,,560000,11350000.0,11783333,23133333,0.024
Monterrey,J. Corona,Jesús Corona,27,1639,32,Left Attacking Midfielder,36,3240,0.51,2880000.0,01-09-2023,30-06-2026,,,,,,3.0,,2880000,47650000.0,10834167,61864167,0.047
Guadalajara,José Castillo Pérez,José Castillo Pérez,21,1632,23,Left Centre Back,30,2700,0.6,350000.0,01-01-2024,30-06-2026,,,,,,2.0,,350000,27200000.0,22351667,49551667,0.007
Atlas,R. Lozano,Rivaldo Lozano,21,1619,27,Left Wing Back,25,2250,0.72,,,,,,,,,,,0,10890000.0,6566667,17456667,0.0
Toluca,H. González,Hugo González,18,1618,35,Goalkeeper,34,3060,0.53,600000.0,07-07-2025,30-06-2026,,,,,,1.0,,600000,25380000.0,25421667,50801667,0.012
Atlas,D. González,Diego González,23,1605,22,Right Midfielder,25,2250,0.71,210000.0,02-01-2025,31-12-2025,,,,,,0.0,,210000,10890000.0,6566667,17456667,0.012
Atlético San Luis,Miguel García,Miguel García,26,1605,24,Right Centre Back,26,2340,0.69,230000.0,02-01-2025,30-06-2026,24/25,Invierno europeo,40188.0,1027076.0,700000.0,1.0,700000.0,930000,8040000.0,1600000,9640000,0.096
Juárez,R. Pizarro,Rodolfo Pizarro,25,1598,31,Central Midfielder,28,2520,0.63,800000.0,01-01-2026,30-06-2026,,,,,,0.0,,800000,12850000.0,5433333,18283333,0.044
Pumas UNAM,P. Vite,Pedro Vite,21,1597,23,Right Attacking Midfielder,32,2880,0.55,880000.0,18-07-2025,18-07-2029,25/26,Verano europeo,7633.0,659806.0,3800000.0,4.0,950000.0,1830000,12860000.0,5755000,18615000,0.098
Tijuana,I. Tona,Iván Tona,23,1592,25,Central Midfielder,26,2340,0.68,300000.0,01-07-2023,30-06-2026,,,,,,3.0,,300000,11350000.0,11783333,23133333,0.013
