player_id,match_id,season,minutes,starter,position_match,team,player_name,primary_position
31985,4004099,2025_2026,75,True,Left Midfield,Tigres UANL,Jonathan Ozziel Herrera Morales,Left Midfield
27904,4004063,2025_2026,97,True,Left Defensive Midfield,Tigres UANL,Fernando Gorriarán Fontes,Left Defensive Midfield
22915,4004063,2025_2026,75,True,Right Midfield,Tigres UANL,Diego Lainez Leyva,Right Wing
276101,4004063,2025_2026,65,True,Left Center Forward,Toluca,Juan Pablo Domínguez Chonteco,Left Midfield
52104,4004063,2025_2026,97,True,Left Defensive Midfield,Toluca,Franco Agustín Romero,Right Defensive Midfield
482833,4004063,2025_2026,97,True,Right Back,Toluca,Sebastian Aceves Cordova,Right Back
28561,4004063,2025_2026,97,True,Goalkeeper,Tigres UANL,Nahuel Ignacio Guzmán Palomeque,Goalkeeper
27153,4004063,2025_2026,66,True,Right Back,Tigres UANL,Javier Ignacio Aquino Carmona,Right Back
33300,4004063,2025_2026,64,True,Left Midfield,Toluca,Nicolás Castro,Left Wing
29586,4004063,2025_2026,81,True,Right Defensive Midfield,Tigres UANL,Juan Francisco Brunetta,Right Defensive Midfield
37539,4004063,2025_2026,97,True,Right Center Back,Tigres UANL,Romulo Zanre Zwarg,Right Center Back
69030,4004063,2025_2026,75,True,Left Back,Tigres UANL,Jesús Ángel Garza García,Right Back
34730,4004063,2025_2026,45,True,Left Back,Toluca,Mauricio Isais,Left Back
27964,4004063,2025_2026,97,True,Right Center Forward,Tigres UANL,Nicolás Alejandro Ibáñez,Right Center Forward
26303,4004063,2025_2026,97,True,Goalkeeper,Toluca,Hugo Alfonso González Durán,Goalkeeper
5575,4004063,2025_2026,45,True,Right Defensive Midfield,Toluca,Héctor Miguel Herrera López,Left Defensive Midfield
32713,4004063,2025_2026,97,True,Left Center Back,Tigres UANL,Juan José Sánchez Purata,Left Center Back
18784,4004063,2025_2026,97,True,Right Center Forward,Toluca,João Paulo Dias Fernandes,Center Forward
6377,4004063,2025_2026,97,True,Left Center Forward,Tigres UANL,Ángel Martín Correa,Center Attacking Midfield
37360,4004063,2025_2026,97,True,Right Center Back,Toluca,Andrés Federico Pereira Castelnoble,Left Center Back
31985,4004063,2025_2026,81,True,Left Midfield,Tigres UANL,Jonathan Ozziel Herrera Morales,Left Midfield
228470,4004063,2025_2026,45,True,Left Center Back,Toluca,Everardo López,Left Center Back
25342,4004063,2025_2026,97,True,Right Midfield,Toluca,Helio Junio Nunes de Castro,Right Wing
51969,4004043,2025_2026,95,True,Right Center Back,Tijuana,Jackson Gabriel Porozo Vernaza,Right Center Back
28802,4004043,2025_2026,91,True,Right Center Midfield,Tijuana,Kevin Castañeda Vargas,Center Attacking Midfield
412677,4004043,2025_2026,45,True,Left Center Forward,Querétaro,Aldahir Perez,Left Center Forward
38307,4004043,2025_2026,95,True,Goalkeeper,Querétaro,José Santiago Hernández García,Goalkeeper
296106,4004043,2025_2026,95,True,Right Back,Tijuana,Rafael Eduardo Fernández Inzunza,Right Back
241323,4004043,2025_2026,71,True,Left Center Midfield,Tijuana,Gilberto Rafael Mora Zambrano,Left Center Forward
30635,4004043,2025_2026,63,True,Left Back,Querétaro,Francisco Eduardo Venegas Moreno,Left Back
27948,4004043,2025_2026,95,True,Right Defensive Midfield,Querétaro,Kevin Rafael Escamilla Moreno,Right Defensive Midfield
34732,4004043,2025_2026,63,True,Right Center Forward,Querétaro,Ronaldo Cisneros Morell,Right Center Forward
27967,4004043,2025_2026,95,True,Left Center Back,Tijuana,Unai Bilbao Arteta,Left Center Back
23754,4004043,2025_2026,83,True,Left Midfield,Querétaro,Lucas Rodríguez,Left Midfield
44747,4004043,2025_2026,95,True,Left Midfield,Tijuana,Adonis Stalin Preciado Quintero,Left Wing
76239,4004043,2025_2026,95,True,Right Center Back,Querétaro,Jesús Fernando Piñuelas Sandoval,Right Center Back
337616,4004043,2025_2026,95,True,Left Center Back,Querétaro,Óscar Gibram Manzanarez Pérez,Left Center Back
389205,4004043,2025_2026,85,True,Right Midfield,Tijuana,Ramiro Árciga Zárate,Right Midfield
46679,4004043,2025_2026,95,True,Left Defensive Midfield,Querétaro,Rodrigo Manuel Bogarín Giménez,Right Center Midfield
31455,4004043,2025_2026,71,True,Center Forward,Tijuana,Shamar Nicholson,Center Forward
275687,4004043,2025_2026,95,True,Center Defensive Midfield,Tijuana,Iván Oswaldo Tona Olmeda,Left Defensive Midfield
26350,4004043,2025_2026,68,True,Right Midfield,Querétaro,Jaime Gómez Valencia,Right Back
27893,4004043,2025_2026,95,True,Goalkeeper,Tijuana,José Antonio Rodríguez Romero,Goalkeeper
28540,4004043,2025_2026,95,True,Right Back,Querétaro,Omar Israel Mendoza Martín,Right Back
80765,4004043,2025_2026,95,True,Left Back,Tijuana,Jesús Alan Vega Grijalva,Left Back
52104,4004179,2025_2026,94,True,Right Defensive Midfield,Toluca,Franco Agustín Romero,Right Defensive Midfield
25097,4004179,2025_2026,94,True,Right Wing Back,Atlas,Gustavo Henrique Ferrareis,Right Wing Back
133777,4004179,2025_2026,94,True,Right Attacking Midfield,Atlas,Diego Luis González Alcaráz,Right Wing
450451,4004179,2025_2026,94,True,Left Wing Back,Atlas,Sergio Ismael Hernández Flores,Left Wing Back
33300,4004179,2025_2026,85,True,Left Attacking Midfield,Toluca,Nicolás Castro,Left Wing
25502,4004179,2025_2026,94,True,Right Center Back,Toluca,Bruno Méndez Cittadini,Right Center Back
23846,4004179,2025_2026,79,True,Center Forward,Atlas,Uroš ?ur?evi?,Center Forward
27567,4004179,2025_2026,60,True,Left Attacking Midfield,Atlas,Mateo Ezequiel García,Left Attacking Midfield
